原因,来源,验证,网页
网页会自动重定向,网站,失败,3
未找到 (404),网站,未启动,14
备用网页（有适当的规范标记）,网站,未启动,1
已抓取 - 尚未编入索引,Google 系统,已开始,23
已发现 - 尚未编入索引,Google 系统,已通过,0
